restart_number,restart_round,mean,std_error,N
1,0,-.37709761,.10080925,5468
1,1,1.4897664,.42422339,1026
2,0,-.8278572,.20016108,4367
2,1,4.2930102,.79768461,741
3,0,-.78203082,.2062217,3532
3,1,6.2662158,1.0974945,462
4,0,-.62657082,.2973657,1725
4,1,5.4337969,1.5478665,197
