cycle,round,mean
1,1,97.736519
1,2,96.433914
1,3,92.371422
1,4,90.350769
1,5,87.576515
1,6,86.262169
2,1,94.308388
2,2,94.434525
2,3,88.209152
2,4,85.763481
2,5,81.010559
2,6,78.682686
3,1,89.021408
3,2,85.580055
3,3,81.268875
3,4,75.903511
3,5,71.799614
3,6,72.274208
4,1,91.273712
4,2,84.773949
4,3,76.129852
4,4,70.95723
4,5,67.19503
4,6,68.040314
5,1,94.612244
5,2,88.302551
5,3,81.028908
5,4,73.114754
5,5,69.17112
5,6,69.554367
