total_cycles,cycle,round,prop100,prop75,prop50,prop25,prop1,prop0
5,3,1,.73096448,.2284264,.020304568,.005076142,.010152284,.005076142
5,3,2,.67391306,.2521739,.047826085,.013043478,.0086956518,.0043478259
5,3,3,.61734694,.29591838,.05102041,.015306123,.015306123,.0051020407
5,3,4,.54314721,.34010151,.086294413,.020304568,.005076142,.005076142
5,3,5,.46956521,.38260868,.082608692,.043478262,.013043478,.0086956518
5,3,6,.56122446,.2857143,.099489793,.035714287,.010204081,.0076530613
5,4,1,.65686274,.3137255,.029411765,0,0,0
5,4,2,.47123289,.44931507,.073972605,0,.0054794522,0
5,4,3,.375,.44132653,.15816326,.015306123,.0051020407,.0051020407
5,4,4,.2990196,.44607842,.21078432,.024509804,.004901961,.014705882
5,4,5,.33150685,.37534246,.20273973,.05479452,.010958904,.024657534
5,4,6,.47704083,.27551019,.14540817,.056122448,.020408163,.025510205
5,5,1,.61632651,.34285715,.024489796,.0040816325,.008163265,.0040816325
5,5,2,.46701846,.39577836,.081794195,.023746701,.0026385225,.029023746
5,5,3,.33163264,.38010204,.20663266,.035714287,.0076530613,.038265307
5,5,4,.3114754,.29918033,.21311475,.049180329,.028688524,.098360658
5,5,5,.27005348,.28342247,.22192514,.072192512,.05882353,.093582891
5,5,6,.39572191,.19518717,.14438502,.085561499,.056149732,.12299465
