restart_number,restart_round,mean,std_error,N_groups,N_obs
1,0,-.036211841,.25769258,1026,6494
1,1,-.32696202,1.3733556,1026,6494
2,0,-1.0270817,.43755159,741,5108
2,1,5.4671173,2.578661,741,5108
3,0,-2.0425527,.38321379,462,3994
3,1,15.902933,2.9296777,462,3994
4,0,-.78469867,.29021385,197,1922
4,1,6.818419,2.5412128,197,1922
